FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
702,408.0169260734003,1535.1919394531053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4518.318058809975,13013.662839882214,0,,,878,Mx,Negative
703,408.0168996542849,1555.550439453115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10105.31047844323,3950.990159037973,0,,,160,Mx,Negative
704,408.2839616102103,85.61717987060547,641640.7106343354,669913.9321975367,723465.4930267938,720728.464754263,1110585.3946666017,707063.1951737049,657290.3272596406,700210.5734314307,636558.5014756646,566894.9201813311,675669.8541467938,644939.3468716147,759074.079764656,826365.8177430391,554833.6395195058,656474.8032986075,708278.4845892274,650565.2477607122,723565.9147488889,476651.72363324434,0,0,0,0,[54][M+1]-,,283,Mx,Negative
705,408.2830957368212,51.114938735961914,0,0,285034.5297909033,286249.9515264305,0,277579.47764950147,316655.8070018827,0,278347.36097281094,255690.61345347363,0,0,233699.52267057743,270285.0115880748,0,271333.4818545052,0,0,267896.17942164664,0,0,0,0,0,[55][M+1]-,,1,Mx,Negative
706,408.9109354614419,324.0342559814453,8029.182638757872,10124.793479758648,9437.851712290445,9865.177963961592,12320.568638110337,9283.782647012451,14281.123491170158,16064.731510339709,13401.485729039698,10238.80878551533,11199.064814089408,10192.600911339856,9509.13698232558,4346.961906214914,5183.605006165146,8103.274502739795,4259.142079198892,4396.525102108732,5117.970525015123,12167.955918485377,0,0,0,0,,[M+Cl]- 373.951,63,Mx,Negative
707,409.0867571833271,473.1614227294922,34051.858411557696,28119.279438448477,31109.216573342805,39850.45157477967,45438.98299341825,31154.2756503057,51365.44058682824,55263.497525425875,40744.9540827369,38925.758542331314,32569.427604104898,21403.017061567687,24297.86924580298,18219.99018570009,21743.835398888306,35365.40985849211,0,0,27350.7698527961,32999.23514542975,0,0,0,0,[56][M]-,,520,Mx,Negative
708,409.1710978895354,181.10082244873047,62609.91885304346,84549.19245085532,182746.4243410526,122192.58175221461,69381.96702684562,173695.60235356833,133182.93824657155,126716.23567121555,125277.60291190328,82577.69932877217,141390.40430779514,62711.152136884775,186867.10644686478,197501.26580904896,71053.61198159608,89280.0936810627,92191.44628910758,63277.551243144175,112374.29580956888,102508.23423339249,0,0,0,0,[57][M]-,[M-H]- 410.177,3,Mx,Negative
709,409.28635222445035,85.56892395019531,93015.81236572622,0,106242.17687491703,111180.37804816487,121256.47289720949,107686.68112376335,98877.21365301183,104924.34587629566,94508.94575463462,87030.54084602537,100913.99538037731,106226.51172264226,112644.69760861277,122476.10774126962,88561.8627862971,99889.94958441025,106654.3489134614,94612.77417196942,0,73026.30392672447,0,0,0,0,[54][M+2]-,,284,Mx,Negative
710,410.08815261546545,472.985107421875,0,6698.340243406462,6942.196743637842,8648.752162684616,0,6614.847789608386,10849.58398807432,11474.23995482212,8312.64415799826,8213.649421543261,6479.462842231614,4500.334730613838,5523.819550207489,0,4279.524823835475,7788.2740728036815,0,0,6703.729523982452,6620.065711220553,0,0,0,0,[56][M+1]-,,520,Mx,Negative
711,410.1726550684118,181.760498046875,10761.03085409933,15413.72692002741,22647.980971635116,17870.019941914416,18165.71000915275,29044.046088084375,21861.308117790013,19935.792976527715,20234.57823661535,13498.277742849754,23395.35509358991,11010.171022703382,30382.887542036857,31574.382609481323,13017.525737350592,13994.681984373863,16274.980020901694,11145.561600849513,18755.803286729864,16877.129297551637,0,0,0,0,[57][M+1]-,,3,Mx,Negative
